================================================================================
ТОП-200 МОНЕТ ПО ОБЪЕМУ ТОРГОВ НА BINANCE (USDT пары)
Дата: 2025-12-11 23:42:58
================================================================================

№     Символ       Цена (USDT)     Изменение 24ч   Объем 24ч (USDT)     Сделок    
--------------------------------------------------------------------------------
1     USDC         $1.00           +0.00%          $1,797,794,364       375409    
2     BTC          $91,627.61      -2.22%          $1,658,331,056       6150645   
3     ETH          $3,221.16       -5.24%          $1,603,516,353       7313539   
4     SOL          $135.45         -3.92%          $569,760,518         2414024   
5     ZEC          $463.69         +12.71%         $326,557,657         902387    
6     XRP          $2.03           -3.13%          $253,881,489         1170597   
7     FDUSD        $1.00           +0.00%          $208,235,127         156269    
8     BNB          $880.23         -3.08%          $159,592,646         1455141   
9     LUNA         $0.19           -8.95%          $133,360,505         712876    
10    DOGE         $0.14           -5.96%          $125,501,733         1149512   
11    ADA          $0.42           -9.95%          $104,232,325         420613    
12    AT           $0.11           -14.40%         $90,770,068          525793    
13    SUI          $1.58           -6.30%          $81,071,882          507729    
14    TRX          $0.28           +0.18%          $56,518,715          81575     
15    ASTER        $0.94           -3.79%          $52,064,243          112452    
16    AVAX         $13.35          -8.69%          $51,303,178          189416    
17    LUNC         $0.00005325     -16.48%         $49,796,379          373202    
18    LINK         $13.88          -5.51%          $46,830,903          131747    
19    PEPE         $0.00000457     -6.54%          $44,326,742          131927    
20    LTC          $82.31          -4.72%          $36,580,172          344851    
21    SEI          $0.13           -12.50%         $34,516,829          153436    
22    ENA          $0.26           -4.52%          $33,824,365          158403    
23    USDE         $1.00           -0.02%          $32,450,321          2886      
24    TAO          $294.20         -3.95%          $32,366,369          166442    
25    BARD         $0.90           +7.33%          $31,416,339          585515    
26    LRC          $0.06           -11.45%         $29,683,378          154176    
27    NEAR         $1.69           -8.10%          $29,504,204          178749    
28    EUR          $1.17           +0.45%          $28,489,047          41301     
29    PAXG         $4,282.97       +1.15%          $28,374,496          39333     
30    PENGU        $0.01           -11.89%         $28,239,009          354176    
31    BCH          $566.80         -2.19%          $25,433,664          148684    
32    GIGGLE       $75.26          -6.21%          $24,839,461          263763    
